Verkiezing;;Gemeenteraad Barneveld 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Barneveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis ingang Oude Raadhuis;Emmaüskerk Barneveld;Appartementencomplex Rumah Maluku;Ontmoetingscentrum Bronveld;Goede Herderkerk;Openbare Basisschool De Lijster;Schaffelaartheater ingang Harmonie;Nederlands Pluimveemuseum;Voetbalvereniging SDV Barneveld;Willem van Oranjeschool;Woonzorgcentrum Elim Barneveld;Zorgcentrum Nebo;"Locatie Burgthof, PCBS ""De Fontein""";Tennisbaan De Watermolen;Veluwehal Barneveld I;Geref.Gemeente in Nederland De Hoeksteen I;Veluwehal Barneveld II;Sporthal Oosterboshal;Moluks Sociaal-cultureel Centrum Jajasan Batu Tjapeu;Dorpshuis De Belleman;Evangeliegemeente de Kandelaar;Brandweerkazerne Voorthuizen;Woon en Zorgcentrum Nieuw Avondrust;Ontmoetingscentrum De Eng;Kerkcentrum Odulf;Kerkelijk Centrum 't Kerkheem;Ichthuskerk;Kerkelijk  Centrum Bethabara I;Dorpshuis De Hofstee;Kerkelijk gebouw Eben-Haëzer;Kulturhus De Essenburcht I;Kulturhus De Essenburcht II;Dorpshuis De Wardborg;Dr. Kruimelstaete;Multifunctioneel Centrum Glindster;Sportpark Overbeek;Hervormde Kerk Kootwijk;Kerkelijk Centrum Bethabara II;"Ger. Gem. in Nederland ""De Hoeksteen"" II";Gemeentehuis ingang Oude Raadhuis;"Geref. Gemeente in Nederland ""De Hoeksteen I""";Kerkelijk Centrum Bethabara I;Kulturhus De Essenburcht;Gemeentehuis ingang Oude Raadhuis;"Geref. Gemeente in Nederland ""De Hoeksteen I""";Kerkelijk Centrum Bethabara I;Kulturhus De Essenburcht
;;20;Wilbrink, R.J.J.;14;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0
;;21;Buitink, H.E.;91;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;30;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;44;0;4;0;0;0;1;0;2;0;2;0
;;22;Jansen, W.J.G.;20;0;0;0;0;1;0;5;0;1;1;0;0;1;3;2;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;23;Goede, G.J.;23;1;0;0;1;0;0;3;0;0;2;0;0;0;1;0;0;0;0;0;0;0;3;0;0;2;0;1;3;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;0
;;24;van den Born, E.H.;97;0;2;0;1;0;0;0;0;0;3;0;0;4;0;0;0;0;0;0;64;0;3;0;2;1;1;0;0;0;0;0;0;0;1;0;12;0;2;0;0;0;0;0;1;0;0;0
;;25;Koster, I.J.;13;0;0;4;0;1;0;0;1;1;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;26;Berendsen, B.D.;14;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;2;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Plieger, G.H.;10;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0
;;28;den Hartog, M.H.;86;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;1;1;0;0;2;65;3;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1
;;29;Eelsing, L.;7;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;30;Sweenen, J.A.;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;9;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3
;;31;Timisela, L.D.M.;20;0;0;1;0;1;1;2;0;0;0;0;0;0;1;0;3;0;0;3;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
;;32;de Vries, W.F.;14;2;1;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0
;;33;van Wassenberg, D.S.;38;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;5;0;3;2;2;5;2;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;3;0
;;34;Taberima, G.;38;4;1;3;6;3;0;0;1;0;1;0;0;1;1;0;1;0;2;8;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;35;Grotenhuis, M.;11;1;0;0;1;2;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
;;36;Bouwman, E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;37;Nyberg, C.C.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;38;Blankenburgh, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Dorst, M.E.;25;0;1;0;0;3;0;1;0;0;3;0;0;4;0;0;6;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0
;;40;Wiesnekker, C.;29;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;0;0;2;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
;;41;van den Akker, D.A.;13;1;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;den Hartog, G.A.C.;14;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Louman, M.J.P.G.;7;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;44;van den Born, L.;13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
;;45;Hofland, A.A.;24;2;3;7;0;0;0;1;0;0;2;0;0;5;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;46;Willemse, C.J.G.;9;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;47;Brink, E.;4;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;de Weerd, H.M.;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;49;Ramp, A.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Donker, J.A.;39;3;0;2;1;3;0;5;1;1;1;0;0;1;2;0;0;1;3;0;0;0;2;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;1;3;0;0;0
6;VVD;;;2051;75;100;34;15;61;9;89;44;22;60;0;3;37;77;40;32;49;61;11;41;90;76;5;40;45;64;13;70;71;44;25;38;41;34;29;50;30;63;39;50;21;36;9;69;34;81;24
;;1;Bos, T.N.;1343;48;67;23;11;42;2;71;32;15;41;0;3;21;54;31;20;32;46;7;22;62;34;2;18;22;30;7;32;57;34;20;33;30;25;17;30;25;39;24;39;14;21;8;51;22;41;18
;;2;van Schaik, J.;53;1;2;0;0;6;0;1;2;0;0;0;0;0;3;5;2;0;3;0;1;0;1;0;2;0;0;1;2;1;0;0;0;1;0;2;4;1;0;2;3;1;0;0;4;1;1;0
;;3;Evers, G.C.;69;2;3;0;0;1;0;2;3;0;0;0;0;7;1;0;2;2;1;0;9;1;2;0;0;2;7;1;3;1;3;0;0;0;0;0;3;0;1;3;0;2;0;0;1;5;0;1
;;4;Reinders, L.;132;6;7;1;1;8;0;4;0;0;4;0;0;1;5;0;3;6;4;0;0;8;4;1;3;3;7;1;4;3;2;1;0;0;4;6;8;3;5;0;5;2;2;0;0;1;8;1
;;5;Kruize, A.J.;91;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;4;10;0;8;3;9;1;14;3;0;0;0;7;0;0;0;0;3;2;0;0;3;0;1;0;18;0
;;6;Reemst-Start, S.J.W.;65;4;3;1;0;2;3;3;3;0;2;0;0;3;4;1;1;3;0;0;1;5;4;0;0;1;1;1;3;2;0;0;1;0;1;0;2;0;3;1;0;1;0;0;1;0;2;2
;;7;Thijsse, P.A.;37;0;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;2;0;0;1;1;0;0;2;1;2;3;2;1;0;0;3;1;1;0;1;0;0;1;1;0;3;2
;;8;van Loenen, G.;64;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;4;12;1;3;6;6;1;5;1;2;1;0;0;1;1;0;0;9;0;0;0;5;0;0;0;2;0
;;9;Welters, E.A.C.;17;1;1;5;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Bos, G.C.N.;60;5;6;3;1;1;0;3;1;7;8;0;0;0;6;2;1;1;1;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;1;0;0;2;1;0;0
;;11;de Veen, R.J.;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;5;0;1;2;3;0;2;0;0;0;0;1;2;1;0;0;0;2;0;0;4;0;0;0;6;0
;;12;van Noort, H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0
;;13;Jansen, M.J.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;3;3;1;0;2;1;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
;;14;Guldie, J.A.F.;63;7;8;0;1;0;2;4;2;0;3;0;0;3;4;0;2;3;3;2;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;1;0;6;1;0;0
7;Burger Initiatief;;;837;33;13;43;35;45;10;23;29;5;30;0;2;13;21;12;7;10;37;13;2;22;51;1;13;31;21;22;21;18;14;14;5;7;16;29;4;22;20;9;16;8;20;3;30;8;27;2
;;1;van den Wildenberg, J.A.G.M.;483;23;12;31;23;28;10;20;20;5;24;0;2;6;17;7;3;9;20;8;1;11;15;1;5;10;8;5;7;6;6;12;3;3;6;16;2;17;5;4;13;7;11;3;22;5;9;2
;;2;Lasscher, S.J.;22;1;1;2;2;2;0;0;0;0;2;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0
;;3;Klein Obbink, H.A.;121;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;6;26;0;4;14;10;14;10;0;0;0;0;0;0;0;1;0;12;1;0;0;8;0;0;0;9;0
;;4;Veldhuizen, D.;17;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0
;;5;van de Vate, J.F.;3;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Langeweg, M.;26;0;0;2;1;0;0;0;0;0;3;0;0;2;1;2;0;0;4;1;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;0
;;7;Hoogenhout, J.J.;13;1;0;1;0;2;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
;;8;van Manen, D.;22;0;0;2;2;0;0;1;4;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;1;2;1;1;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0
;;9;De Man, A.L.G.;16;0;0;3;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;10;Blomsma, R.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0
;;11;van den Berg-Hol, B.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;van Middendorp, E.;25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;2;8;0;0;0;2;0;0;0;1;2;0;0;0;1;0;0;0;2;0
;;13;Schaafsma, K;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0
;;14;Karrenbeld, R.E.;11;2;0;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;15;van Kregten, C.I.;3;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Hamster, H.W.;28;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;3;0;1;0;1;0;2;0;0;1;0;1;2;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Veldhuizen, M.J.W.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Snel, T.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Braam, P.E;22;0;0;1;0;4;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;2;2;0;0;0;0;2;0;1;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0
